ticker,options_volume,options_volume_call,options_volume_put,volume_put_call_ratio,open_interest,open_interest_call,open_interest_put,open_interest_put_call_ratio,iv_rank,implied_volatility_30d,,,,
NVDA,1967114,1228819,738295,0.600816719,21137441,10847096,10290345,0.948672806,30.32519918,50.53142857,,ERR,ERR,ERR
TSLA,1603459,1033233,570226,0.551885199,8076439,4197531,3878908,0.924092758,28.20611726,59.87857143,,,,
AAPL,804277,459149,345128,0.751668848,4791495,2691927,2099568,0.779949828,23.15080816,27.36714286,,,,
UNH,723435,494340,229095,0.463436097,1106830,730282,376548,0.515619993,72.1875,58.56,,ERR,ERR,ERR
IBIT,571710,412977,158733,0.38436281,2805009,1972865,832144,0.4217947,6.260104766,44.03285714,,,,
PLTR,490885,281350,209535,0.744748534,3230709,1732646,1498063,0.864609966,27.52608375,56.85142857,,,,
AMZN,421738,274526,147212,0.536240648,3957845,2182456,1775389,0.81348215,15.35688536,28.69,,,,
MSTR,373134,222092,151042,0.680087531,2205429,1142971,1062458,0.929558143,0.372848778,65.41428571,,,,
SMCI,370021,271379,98642,0.363484278,2571236,1540436,1030800,0.669161199,13.75718261,83.25285714,,,,
AMD,335857,203443,132414,0.650865353,3691628,2089240,1602388,0.766971722,17.98284531,43.80428571,,,,
MSFT,292033,173036,118997,0.687700825,2125293,1232365,892928,0.724564557,8.550358196,19.23857143,,,,
GOOGL,273083,205341,67742,0.32990002,3315955,2024768,1291187,0.637696269,24.22123825,29.58857143,,,,
HOOD,261278,164781,96497,0.585607564,1753413,1116375,637038,0.570630836,25.10204082,64.04857143,,,,
META,242426,153020,89406,0.584276565,2018808,1172179,846629,0.72226938,12.43822349,30.58714286,,,,
CRWV,236300,175762,60538,0.344431675,255880,121091,134789,1.113121537,34.21402555,124.1728571,,ERR,ERR,ERR
QBTS,235686,178630,57056,0.319408834,532926,354490,178436,0.503359756,19.48733195,130.1457143,,,,
MRNA,213378,169033,44345,0.262345223,821185,477132,344053,0.72108557,47.41161184,71.59285714,,ERR,ERR,ERR
RUN,210532,188807,21725,0.11506459,826124,543935,282189,0.518791767,45.21307722,91.05714286,,ERR,ERR,ERR
INTC,207505,134456,73049,0.543292973,5125574,3147465,1978109,0.628476885,14.92739464,39.95428571,,,,
RIVN,203074,132897,70177,0.528055562,2511205,1221725,1289480,1.055458471,6.291602663,58.38857143,,,,
